Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,,,,,,
2023 Roland Garros R32,W vs Shapovalov,5,5.3,4.8,58.20%,65.50%,57.70%,58.80%,,,,,,
2023 Roland Garros R128,W vs Cobolli,4.9,4.6,5.2,62.50%,56.50%,80.00%,47.40%,,,,,,
2023 Rome R32,L vs Marozsan,3.9,3.8,3.9,46.80%,29.40%,38.50%,54.50%,,,,,,
2023 Rome R64,W vs Ramos,5.8,4.9,6.4,59.00%,60.00%,61.50%,50.00%,,,,,,
2023 Madrid F,W vs Struff,3.2,3.3,3.1,47.20%,58.70%,62.50%,33.30%,,,,,,
2023 Madrid SF,W vs Coric,4.2,4.1,4.2,60.60%,61.80%,40.00%,40.00%,,,,,,
2023 Madrid QF,W vs Khachanov,3.9,3.4,4.3,48.70%,56.50%,50.00%,71.40%,,,,,,
2023 Madrid R16,W vs Zverev,3.2,3.6,3,55.60%,73.10%,62.50%,100.00%,,,,,,
2023 Madrid R64,W vs Ruusuvuori,3.4,3.3,3.7,55.90%,43.80%,31.80%,57.10%,,,,,,
2023 Barcelona F,W vs Tsitsipas,3.7,3.4,4,51.60%,65.00%,80.00%,50.00%,,,,,,
2023 Barcelona SF,W vs Evans,4.1,4.3,3.8,61.80%,58.60%,62.50%,62.50%,,,,,,
2023 Miami SF,L vs Sinner,3.9,4,3.8,41.10%,57.40%,54.50%,42.10%,,,,,,
2023 Miami QF,W vs Fritz,3.8,4.1,3.6,59.20%,38.10%,54.50%,87.50%,,,,,,
2023 Miami R16,W vs Paul,3.8,3.8,3.8,50.00%,73.10%,60.00%,50.00%,,,,,,
2023 Miami R32,W vs Lajovic,4,3.9,4,56.50%,48.60%,64.30%,87.50%,,,,,,
2023 Indian Wells F,W vs Medvedev,4.7,4.7,4.8,61.50%,50.00%,73.30%,58.30%,,,,,,
2023 Indian Wells SF,W vs Sinner,4.4,4.4,4.4,49.30%,62.90%,52.40%,30.80%,,,,,,
2023 Indian Wells QF,W vs Auger Aliassime,3.9,3.9,3.9,48.70%,72.20%,50.00%,50.00%,,,,,,
2023 Indian Wells R32,W vs Griekspoor,3.6,3.9,3.2,50.50%,52.20%,72.70%,70.00%,,,,,,
2023 Indian Wells R64,W vs Kokkinakis,3.3,3.3,3.3,54.90%,84.20%,28.60%,66.70%,,,,,,
2023 Rio De Janeiro F,L vs Norrie,3.4,3.5,3.3,47.50%,59.30%,40.00%,50.00%,,,,,,
2023 Rio De Janeiro SF,W vs Jarry,3.3,3,3.5,54.80%,56.80%,50.00%,57.10%,,,,,,
2023 Rio De Janeiro R32,W vs Alves,4.1,3,4.8,52.60%,59.40%,36.40%,69.20%,,,,,,
2023 Buenos Aires F,W vs Norrie,3.4,2.9,3.9,56.40%,60.00%,27.30%,33.30%,,,,,,
2023 Buenos Aires SF,W vs Zapata Miralles,4.9,5,4.7,58.80%,55.60%,66.70%,80.00%,,,,,,
2023 Buenos Aires QF,W vs Lajovic,5.1,5.7,4.6,49.10%,69.00%,57.90%,60.00%,,,,,,
2023 Buenos Aires R16,W vs Djere,3.6,3.9,3.4,56.10%,48.10%,53.80%,58.30%,,,,,,
2022 Paris R16,W vs Dimitrov,3.5,3.5,3.5,46.30%,76.00%,83.30%,87.50%,,,,,,
2022 Paris R32,W vs Nishioka,3.8,2.7,4.6,61.30%,51.90%,25.00%,62.50%,,,,,,
2022 Basel SF,L vs Auger Aliassime,3.6,4.3,3,30.00%,52.60%,50.00%,66.70%,,,,,,
2022 Basel R16,W vs Van De Zandschulp,3.8,3.3,4.3,53.90%,57.90%,37.50%,83.30%,,,,,,
2022 Basel R32,W vs Draper,4.7,4.9,4.4,48.50%,55.20%,50.00%,53.80%,,,,,,
2022 Astana R32,L vs Goffin,4.9,5.1,4.6,47.50%,40.00%,47.10%,37.50%,,,,,,
2022 US Open F,W vs Ruud,4,3.9,4.1,55.40%,41.20%,44.80%,52.40%,,,,,,
2022 US Open SF,W vs Tiafoe,3.9,4.1,3.8,49.20%,59.00%,62.50%,70.80%,,,,,,
2022 US Open QF,W vs Sinner,4.1,4.4,3.8,49.60%,55.40%,52.20%,62.10%,,,,,,
2022 US Open R16,W vs Cilic,3.5,3.7,3.2,50.30%,46.90%,58.10%,46.70%,,,,,,
2022 US Open R32,W vs Brooksby,4.4,4.1,4.6,58.10%,60.50%,66.70%,38.90%,,,,,,
2022 Cincinnati QF,L vs Norrie,4.3,4.3,4.2,45.80%,50.00%,63.20%,73.10%,,,,,,
2022 Cincinnati R32,W vs Mcdonald,3.5,3,3.9,57.60%,71.40%,40.00%,100.00%,,,,,,
